Task,T5828
Scope 1/1, Sample 1/29 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
1.9420,481,218.0,22.4,0.0075,,
1.9505,482,218.3,22.4,0.0075,,
1.9590,483,218.7,22.4,0.0075,,
1.9665,484,219.1,22.4,0.0075,,
1.9750,485,219.6,22.4,0.0085,,
1.9835,486,219.9,22.4,0.0085,,
1.9920,487,220.3,22.4,0.0075,,
2.0000,488,220.6,22.4,0.0075,,
2.0085,489,221.1,22.4,0.0075,,
2.0170,490,221.3,22.4,0.0085,,
2.0245,491,221.7,22.4,0.0075,,
2.0330,492,221.9,22.4,0.0085,,
2.0415,493,222.2,22.4,0.0075,,
2.0500,494,222.5,22.4,0.0075,,
2.0585,495,222.7,22.4,0.0075,,
2.0670,496,223.0,22.4,0.0075,,
2.0745,497,223.5,22.4,0.0075,,
2.0830,498,223.6,22.4,0.0085,,
2.0910,499,224.0,22.4,0.0080,,
2.0995,500,224.3,22.4,0.0075,,
2.1080,501,224.6,22.4,0.0075,,
2.1165,502,224.9,22.4,0.0075,,
2.1240,503,225.2,22.4,0.0075,,
2.1325,504,225.5,22.4,0.0085,,
2.1410,505,225.8,22.4,0.0085,,
2.1495,506,226.1,22.4,0.0075,,
2.1580,507,226.3,22.4,0.0075,,
2.1660,508,226.6,22.4,0.0075,,
2.1740,509,227.0,22.4,0.0080,,
2.1820,510,227.1,22.4,0.0080,,
2.1905,511,227.4,22.4,0.0085,,
2.1990,512,227.7,22.4,0.0075,,
2.2075,513,227.8,22.4,0.0075,,
2.2160,514,228.0,22.4,0.0075,,
2.2235,515,228.1,22.4,0.0075,,
2.2320,516,228.4,22.4,0.0085,,
2.2405,517,228.6,22.4,0.0085,,
2.2485,518,228.9,22.4,0.0075,,
2.2570,519,229.2,22.4,0.0075,,
2.2655,520,229.5,22.4,0.0075,,
2.2730,521,229.6,22.4,0.0075,,
2.2815,522,229.8,22.4,0.0085,,
2.2900,523,230.1,22.4,0.0085,,
2.2985,524,230.3,22.4,0.0075,,
2.3070,525,230.5,22.4,0.0075,,
2.3155,526,230.8,22.4,0.0075,,
2.3230,527,231.0,22.4,0.0075,,
2.3315,528,231.4,22.4,0.0085,,
2.3400,529,231.6,22.4,0.0085,,
2.3480,530,231.7,22.4,0.0075,,
2.3565,531,231.9,22.4,0.0075,,
2.3650,532,232.1,22.4,0.0075,,
2.3725,533,232.2,22.4,0.0075,,
2.3810,534,232.6,22.4,0.0085,,
2.3895,535,232.7,22.4,0.0085,,
2.3980,536,232.9,22.4,0.0075,,
2.4065,537,233.1,22.4,0.0075,,
2.4150,538,233.3,22.4,0.0075,,
2.4225,539,233.8,22.4,0.0075,,
2.4285,540,234.0,22.4,0.0060,,
2.4345,541,234.2,22.4,0.0060,,
2.4410,542,234.2,22.4,0.0060,,
2.4445,543,234.5,22.4,0.0030,,
2.4445,544,234.6,22.4,0.0000,,
2.4455,545,234.6,22.4,0.0010,,
2.4470,546,234.6,22.4,0.0015,,
2.4490,547,234.6,22.4,0.0020,,
2.4520,548,234.7,22.4,0.0025,,
2.4565,549,234.7,22.4,0.0040,,
2.4600,550,234.8,22.4,0.0030,,
2.4620,551,234.9,22.4,0.0020,,
2.4625,552,235.0,22.4,0.0005,,
2.4630,553,235.0,22.4,0.0005,,
2.4640,554,235.0,22.4,0.0015,,
Scope 1/1, Sample 9/29 (PreC_Day1_rerun_Dil3rep1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-59.4,22.3,NaN,,
0.0010,1,-59.3,22.3,0.0010,,
0.0025,2,-59.4,22.3,0.0015,,
0.0050,3,-59.4,22.3,0.0025,,
0.0090,4,-59.3,22.3,0.0035,,
0.0155,5,-59.2,22.3,0.0060,,
0.0235,6,-58.9,22.3,0.0075,,
0.0320,7,-58.7,22.3,0.0075,,
0.0405,8,-58.1,22.3,0.0075,,
0.0490,9,-57.5,22.3,0.0085,,
0.0565,10,-56.6,22.3,0.0070,,
0.0650,11,-55.6,22.3,0.0075,,
0.0735,12,-54.5,22.3,0.0075,,
0.0820,13,-53.4,22.3,0.0075,,
0.0900,14,-52.2,22.3,0.0075,,
0.0985,15,-51.3,22.3,0.0085,,
0.1060,16,-50.0,22.3,0.0070,,
0.1145,17,-48.6,22.3,0.0075,,
0.1230,18,-47.2,22.3,0.0075,,
0.1315,19,-45.5,22.3,0.0075,,
0.1400,20,-44.0,22.3,0.0075,,
0.1485,21,-42.6,22.3,0.0085,,
0.1560,22,-40.9,22.3,0.0070,,
0.1645,23,-39.0,22.3,0.0075,,
0.1730,24,-37.0,22.3,0.0075,,
0.1810,25,-35.3,22.3,0.0075,,
0.1895,26,-33.4,22.3,0.0075,,
0.1980,27,-31.7,22.3,0.0075,,
0.2055,28,-30.4,22.3,0.0070,,
0.2140,29,-28.7,22.3,0.0075,,
0.2225,30,-27.1,22.3,0.0075,,
0.2310,31,-25.6,22.3,0.0075,,
0.2395,32,-24.2,22.3,0.0075,,
0.2475,33,-22.7,22.3,0.0075,,
0.2555,34,-21.4,22.3,0.0075,,
0.2635,35,-20.0,22.3,0.0075,,
0.2720,36,-18.7,22.3,0.0075,,
0.2805,37,-17.4,22.3,0.0075,,
0.2890,38,-16.1,22.3,0.0075,,
0.2975,39,-14.8,22.3,0.0075,,
0.3050,40,-13.5,22.3,0.0075,,
0.3135,41,-12.1,22.3,0.0075,,
0.3220,42,-10.7,22.3,0.0075,,
0.3305,43,-9.4,22.3,0.0075,,
0.3385,44,-8.3,22.3,0.0075,,
0.3470,45,-7.2,22.3,0.0075,,
0.3555,46,-6.1,22.3,0.0085,,
0.3630,47,-5.0,22.3,0.0070,,
0.3715,48,-3.6,22.3,0.0075,,
0.3800,49,-2.4,22.3,0.0075,,
0.3885,50,-1.0,22.3,0.0075,,
0.3970,51,-0.2,22.3,0.0075,,
0.4055,52,0.4,22.3,0.0085,,
0.4130,53,1.5,22.3,0.0070,,
0.4215,54,2.8,22.3,0.0075,,
0.4295,55,3.7,22.3,0.0075,,
0.4380,56,4.9,22.3,0.0075,,
0.4465,57,5.8,22.3,0.0075,,
0.4550,58,6.7,22.3,0.0075,,
0.4625,59,7.5,22.3,0.0070,,
0.4710,60,8.7,22.3,0.0075,,
0.4795,61,9.8,22.3,0.0075,,
0.4880,62,11.1,22.3,0.0075,,
0.4960,63,12.3,22.3,0.0075,,
0.5045,64,13.3,22.3,0.0075,,
0.5125,65,14.3,22.3,0.0075,,
0.5205,66,15.3,22.3,0.0075,,
0.5290,67,16.5,22.3,0.0075,,
0.5375,68,17.5,22.3,0.0075,,
0.5460,69,18.6,22.3,0.0075,,
0.5545,70,19.4,22.3,0.0075,,
0.5620,71,20.4,22.3,0.0070,,
0.5705,72,21.3,22.3,0.0075,,
0.5790,73,22.2,22.3,0.0075,,
0.5875,74,23.2,22.3,0.0075,,
0.5960,75,24.1,22.3,0.0075,,
0.6040,76,25.0,22.3,0.0080,,
0.6120,77,26.1,22.3,0.0075,,
0.6200,78,27.0,22.3,0.0075,,
0.6285,79,28.0,22.3,0.0075,,
0.6370,80,29.0,22.3,0.0075,,
0.6455,81,29.9,22.3,0.0075,,
0.6530,82,30.7,22.3,0.0070,,
0.6615,83,31.7,22.3,0.0075,,
0.6700,84,32.6,22.3,0.0075,,
0.6785,85,33.5,22.3,0.0075,,
0.6870,86,34.5,22.3,0.0075,,
0.6950,87,35.4,22.3,0.0075,,
0.7035,88,36.4,22.3,0.0085,,
0.7110,89,37.2,22.3,0.0070,,
0.7195,90,38.0,22.3,0.0075,,
0.7280,91,38.9,22.3,0.0075,,
0.7365,92,39.8,22.3,0.0075,,
0.7450,93,40.8,22.3,0.0075,,
0.7525,94,41.7,22.3,0.0075,,
0.7610,95,42.6,22.3,0.0075,,
0.7695,96,43.5,22.3,0.0075,,
0.7780,97,44.3,22.3,0.0075,,
0.7860,98,45.2,22.3,0.0075,,
0.7945,99,46.1,22.3,0.0075,,
0.8025,100,46.9,22.3,0.0075,,
0.8105,101,47.8,22.3,0.0075,,
0.8190,102,48.6,22.3,0.0075,,
0.8275,103,49.4,22.3,0.0075,,
0.8360,104,50.3,22.3,0.0075,,
0.8445,105,51.1,22.3,0.0075,,
0.8530,106,51.7,22.3,0.0085,,
0.8605,107,52.5,22.3,0.0070,,
0.8690,108,53.4,22.3,0.0075,,
0.8775,109,54.3,22.3,0.0075,,
0.8855,110,55.0,22.3,0.0075,,
0.8940,111,55.8,22.3,0.0075,,
0.9025,112,56.6,22.3,0.0085,,
0.9100,113,57.4,22.3,0.0070,,
0.9185,114,58.2,22.3,0.0075,,
0.9270,115,59.1,22.3,0.0075,,
0.9355,116,59.9,22.3,0.0075,,
0.9440,117,60.7,22.3,0.0075,,
0.9520,118,61.7,22.3,0.0075,,
0.9600,119,62.5,22.3,0.0075,,
0.9680,120,63.3,22.3,0.0075,,
0.9765,121,64.2,22.3,0.0075,,
0.9850,122,65.1,22.3,0.0075,,
0.9935,123,65.9,22.3,0.0075,,
1.0020,124,66.7,22.3,0.0075,,
1.0095,125,67.5,22.3,0.0070,,
1.0180,126,68.4,22.3,0.0075,,
1.0265,127,69.4,22.3,0.0075,,
1.0350,128,70.1,22.4,0.0075,,
1.0430,129,70.9,22.3,0.0075,,
1.0515,130,71.7,22.3,0.0075,,
1.0590,131,72.6,22.3,0.0070,,
1.0675,132,73.5,22.4,0.0075,,
1.0760,133,74.4,22.4,0.0075,,
1.0845,134,75.5,22.4,0.0075,,
1.0930,135,76.5,22.3,0.0075,,
1.1015,136,77.4,22.4,0.0075,,
1.1090,137,78.2,22.4,0.0070,,
1.1175,138,79.2,22.4,0.0075,,
1.1260,139,80.4,22.4,0.0075,,
1.1340,140,81.5,22.4,0.0075,,
1.1425,141,82.6,22.4,0.0075,,
1.1510,142,83.8,22.4,0.0075,,
1.1585,143,84.8,22.4,0.0070,,
1.1670,144,85.9,22.4,0.0075,,
1.1755,145,87.1,22.4,0.0075,,
1.1840,146,88.3,22.4,0.0075,,
1.1925,147,89.8,22.4,0.0075,,
1.2010,148,90.8,22.4,0.0075,,
1.2085,149,92.1,22.4,0.0070,,
1.2170,150,93.4,22.4,0.0075,,
1.2250,151,95.0,22.4,0.0075,,
1.2335,152,96.6,22.4,0.0075,,
1.2420,153,98.2,22.4,0.0075,,
1.2505,154,99.8,22.4,0.0075,,
1.2580,155,101.1,22.4,0.0070,,
1.2665,156,102.8,22.4,0.0075,,
1.2750,157,104.7,22.4,0.0075,,
1.2835,158,106.8,22.4,0.0075,,
1.2920,159,108.9,22.4,0.0075,,
1.3000,160,110.8,22.4,0.0075,,
1.3080,161,112.5,22.4,0.0075,,
1.3160,162,114.9,22.4,0.0075,,
1.3245,163,117.8,22.4,0.0075,,
1.3330,164,121.0,22.4,0.0075,,
1.3415,165,124.0,22.4,0.0075,,
1.3500,166,127.2,22.4,0.0075,,
1.3585,167,130.2,22.4,0.0075,,
1.3660,168,133.5,22.4,0.0070,,
1.3745,169,137.5,22.4,0.0075,,
1.3830,170,140.9,22.4,0.0075,,
1.3910,171,144.2,22.4,0.0075,,
1.3995,172,147.9,22.4,0.0075,,
1.4080,173,151.6,22.4,0.0075,,
1.4155,174,154.4,22.4,0.0070,,
1.4240,175,157.8,22.4,0.0075,,
1.4325,176,160.8,22.4,0.0075,,
1.4410,177,163.3,22.4,0.0075,,
1.4495,178,165.8,22.4,0.0075,,
1.4580,179,167.9,22.4,0.0085,,
1.4655,180,170.4,22.4,0.0070,,
1.4740,181,172.4,22.4,0.0075,,
1.4820,182,174.3,22.4,0.0075,,
1.4905,183,176.3,22.4,0.0075,,
1.4990,184,178.1,22.4,0.0075,,
1.5075,185,180.0,22.4,0.0075,,
1.5150,186,181.3,22.4,0.0070,,
1.5235,187,182.9,22.4,0.0075,,
1.5320,188,184.2,22.4,0.0075,,
1.5415,189,185.2,22.4,0.0075,,
1.5415,429,188.5,22.4,0.0000,,
1.5420,430,188.5,22.4,0.0005,,
1.5435,432,188.4,22.4,0.0010,,
1.5460,432,188.3,22.4,0.0050,,
1.5500,434,188.3,22.4,0.0025,,
1.5560,435,188.6,22.4,0.0100,,
1.5645,436,189.4,22.4,0.0140,,
1.5720,436,190.0,22.4,0.0150,,
1.5805,438,191.1,22.4,0.0055,,
1.5890,438,192.1,22.4,0.0170,,
1.5970,440,193.3,22.4,0.0050,,
1.6055,441,194.2,22.4,0.0140,,
1.6140,442,195.3,22.4,0.0140,,
1.6225,442,196.0,22.4,0.0170,,
1.6300,444,196.9,22.4,0.0050,,
1.6385,444,197.7,22.4,0.0170,,
1.6470,446,198.6,22.4,0.0055,,
1.6555,447,199.3,22.4,0.0140,,
1.6640,448,200.2,22.4,0.0140,,
1.6715,448,200.8,22.4,0.0150,,
1.6800,450,201.6,22.4,0.0055,,
1.6880,450,202.1,22.4,0.0160,,
1.6965,452,202.9,22.4,0.0055,,
1.7050,453,203.4,22.4,0.0140,,
1.7135,454,204.2,22.4,0.0140,,
1.7210,454,204.7,22.4,0.0150,,
1.7295,456,205.5,22.4,0.0055,,
1.7380,456,206.0,22.4,0.0170,,
1.7465,458,206.7,22.4,0.0055,,
1.7550,459,207.2,22.4,0.0140,,
1.7630,460,207.7,22.4,0.0135,,
1.7710,460,208.1,22.4,0.0160,,
1.7795,462,208.8,22.4,0.0055,,
1.7875,462,209.3,22.4,0.0160,,
1.7960,464,209.7,22.4,0.0055,,
1.8045,465,210.3,22.4,0.0140,,
1.8130,466,210.8,22.4,0.0140,,
1.8205,466,211.1,22.4,0.0150,,
1.8290,468,211.5,22.4,0.0055,,
1.8375,468,212.1,22.4,0.0170,,
1.8460,470,212.5,22.4,0.0055,,
1.8545,471,213.0,22.4,0.0140,,
1.8625,472,213.5,22.4,0.0135,,
1.8705,472,213.9,22.4,0.0160,,
1.8785,474,214.4,22.4,0.0055,,
1.8870,474,214.9,22.4,0.0170,,
1.8955,476,215.3,22.4,0.0055,,
1.9040,477,215.8,22.4,0.0140,,
1.9125,478,216.2,22.4,0.0140,,
1.9200,478,216.6,22.4,0.0150,,
1.9285,480,217.0,22.4,0.0055,,
1.9370,480,217.4,22.4,0.0170,,
1.9455,482,217.6,22.4,0.0055,,
1.9535,483,218.1,22.4,0.0135,,
1.9620,484,218.3,22.4,0.0140,,
1.9695,484,218.6,22.4,0.0150,,
1.9780,486,218.9,22.4,0.0055,,
1.9865,486,219.3,22.4,0.0170,,
1.9950,488,219.7,22.4,0.0055,,
2.0035,489,220.0,22.4,0.0140,,
2.0120,490,220.3,22.4,0.0140,,
2.0200,491,220.9,22.4,0.0135,,
2.0280,492,221.1,22.4,0.0160,,
2.0360,492,221.5,22.4,0.0160,,
2.0445,494,221.8,22.4,0.0055,,
2.0530,495,222.0,22.4,0.0140,,
2.0615,496,222.4,22.4,0.0140,,
2.0700,497,222.8,22.4,0.0140,,
2.0775,498,223.0,22.4,0.0150,,
2.0860,498,223.2,22.4,0.0170,,
2.0945,500,223.6,22.4,0.0055,,
2.1030,501,224.0,22.4,0.0140,,
2.1115,502,224.3,22.4,0.0140,,
2.1195,503,224.5,22.4,0.0135,,
2.1275,504,224.6,22.4,0.0160,,
2.1355,504,224.9,22.4,0.0160,,
2.1440,506,225.3,22.4,0.0055,,
2.1525,507,225.6,22.4,0.0140,,
2.1610,508,225.7,22.4,0.0140,,
2.1695,509,226.0,22.4,0.0140,,
2.1770,510,226.4,22.4,0.0150,,
2.1855,510,226.5,22.4,0.0170,,
2.1940,512,226.8,22.4,0.0055,,
2.2025,513,227.1,22.4,0.0140,,
2.2105,514,227.4,22.4,0.0135,,
2.2190,515,227.6,22.4,0.0140,,
2.2265,516,227.9,22.4,0.0150,,
2.2350,516,228.1,22.4,0.0170,,
2.2435,518,228.5,22.4,0.0055,,
2.2520,519,228.7,22.4,0.0140,,
2.2605,520,229.0,22.4,0.0140,,
2.2690,521,229.2,22.4,0.0140,,
2.2765,522,229.6,22.4,0.0150,,
2.2850,522,229.7,22.4,0.0170,,
2.2935,524,230.0,22.4,0.0055,,
2.3015,525,230.2,22.4,0.0135,,
2.3100,526,230.4,22.4,0.0140,,
2.3185,527,230.6,22.4,0.0140,,
2.3260,528,230.6,22.4,0.0150,,
2.3345,528,230.9,22.4,0.0170,,
2.3430,530,231.1,22.4,0.0055,,
2.3515,531,231.3,22.4,0.0140,,
2.3600,532,231.6,22.4,0.0140,,
2.3685,532,231.8,22.4,0.0170,,
2.3760,534,231.9,22.4,0.0050,,
2.3845,534,232.2,22.4,0.0170,,
2.3925,536,232.5,22.4,0.0055,,
2.4010,537,232.8,22.4,0.0140,,
2.4095,538,233.0,22.4,0.0140,,
2.4180,539,233.3,22.4,0.0140,,
2.4255,540,233.4,22.4,0.0150,,
2.4340,540,233.6,22.4,0.0170,,
2.4425,542,233.8,22.4,0.0055,,
2.4505,543,233.9,22.5,0.0135,,
2.4550,544,234.0,22.4,0.0075,,
2.4555,545,234.1,22.5,0.0010,,
2.4560,546,234.2,22.5,0.0010,,
2.4575,546,234.2,22.5,0.0030,,
2.4580,548,234.3,22.5,0.0005,,
2.4585,549,234.4,22.5,0.0010,,
2.4600,550,234.4,22.5,0.0025,,
2.4615,551,234.5,22.5,0.0025,,
2.4630,552,234.7,22.5,0.0030,,
2.4640,552,234.6,22.5,0.0020,,
2.4645,554,234.7,22.5,0.0005,,
2.4655,555,234.5,22.5,0.0015,,
2.4660,556,234.6,22.5,0.0010,,
2.4670,557,234.6,22.5,0.0015,,
2.4680,558,234.6,22.5,0.0015,,
2.4690,558,234.5,22.5,0.0020,,
2.4695,560,234.5,22.5,0.0005,,
2.4705,560,234.6,22.5,0.0020,,
2.4715,562,234.7,22.5,0.0005,,
2.4720,563,234.8,22.5,0.0010,,
2.4725,564,234.9,22.5,0.0010,,
2.4730,564,234.9,22.5,0.0010,,
2.4740,566,234.9,22.5,0.0005,,
2.4760,566,234.9,22.5,0.0040,,
2.4790,568,234.9,22.5,0.0020,,
2.4810,568,235.0,22.5,0.0050,,
Scope 1/1, Sample 10/29 (PreC_Day1_rerun_Dil3rep2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-45.8,22.3,NaN,,
0.0010,1,-46.0,22.3,0.0010,,
0.0025,2,-46.0,22.4,0.0015,,
0.0050,3,-46.0,22.4,0.0025,,
0.0090,4,-46.0,22.4,0.0035,,
0.0150,5,-45.8,22.4,0.0055,,
0.0235,6,-45.5,22.4,0.0075,,
0.0320,7,-45.1,22.4,0.0075,,
0.0405,8,-44.3,22.4,0.0075,,
0.0480,9,-43.5,22.4,0.0075,,
0.0565,10,-42.4,22.4,0.0075,,
0.0650,11,-41.1,22.4,0.0075,,
0.0735,12,-39.8,22.4,0.0075,,
0.0815,13,-38.4,22.4,0.0075,,
0.0900,14,-36.9,22.4,0.0075,,
0.0985,15,-35.4,22.4,0.0085,,
0.1060,16,-33.9,22.4,0.0070,,
0.1145,17,-32.4,22.4,0.0075,,
0.1230,18,-30.6,22.4,0.0075,,
0.1315,19,-28.9,22.4,0.0075,,
0.1400,20,-27.1,22.4,0.0075,,
0.1485,21,-25.5,22.4,0.0085,,
0.1560,22,-23.8,22.4,0.0070,,
0.1645,23,-22.1,22.4,0.0075,,
0.1725,24,-20.7,22.4,0.0075,,
0.1810,25,-19.4,22.4,0.0075,,
0.1895,26,-18.2,22.4,0.0075,,
0.1970,27,-16.9,22.4,0.0075,,
0.2055,28,-15.4,22.4,0.0075,,
0.2140,29,-14.0,22.4,0.0075,,
0.2225,30,-12.5,22.4,0.0075,,
0.2310,31,-11.3,22.4,0.0075,,
0.2395,32,-10.0,22.4,0.0075,,
0.2470,33,-8.8,22.4,0.0075,,
0.2555,34,-7.7,22.4,0.0075,,
0.2640,35,-6.7,22.4,0.0075,,
0.2720,36,-5.6,22.4,0.0075,,
0.2805,37,-4.3,22.4,0.0075,,
0.2890,38,-3.2,22.4,0.0075,,
0.2975,39,-2.4,22.4,0.0085,,
0.3050,40,-1.2,22.4,0.0070,,
0.3135,41,-0.1,22.4,0.0075,,
0.3220,42,0.3,22.4,0.0075,,
0.3305,43,1.4,22.4,0.0075,,
0.3390,44,2.8,22.4,0.0075,,
0.3465,45,3.2,22.4,0.0075,,
0.3550,46,4.4,22.4,0.0075,,
0.3630,47,5.3,22.4,0.0075,,
0.3715,48,6.0,22.4,0.0075,,
0.3800,49,6.8,22.4,0.0075,,
0.3885,50,7.6,22.4,0.0075,,
0.3970,51,8.5,22.4,0.0085,,
0.4045,52,9.5,22.4,0.0070,,
0.4130,53,10.5,22.4,0.0075,,
0.4215,54,11.6,22.4,0.0075,,
0.4295,55,12.7,22.4,0.0075,,
0.4380,56,13.7,22.4,0.0075,,
0.4465,57,14.7,22.4,0.0085,,
0.4540,58,15.6,22.4,0.0070,,
0.4625,59,16.5,22.4,0.0075,,
0.4710,60,17.4,22.4,0.0075,,
0.4795,61,18.3,22.4,0.0075,,
0.4880,62,19.1,22.4,0.0075,,
0.4965,63,20.0,22.4,0.0075,,
0.5040,64,20.6,22.4,0.0070,,
0.5125,65,21.4,22.4,0.0075,,
0.5205,66,22.2,22.4,0.0075,,
0.5290,67,23.0,22.4,0.0075,,
0.5375,68,23.9,22.4,0.0075,,
0.5460,69,24.7,22.4,0.0075,,
0.5535,70,25.6,22.4,0.0075,,
0.5620,71,26.4,22.4,0.0075,,
0.5705,72,27.3,22.4,0.0075,,
0.5790,73,28.1,22.4,0.0075,,
0.5875,74,28.9,22.4,0.0075,,
0.5955,75,29.9,22.4,0.0075,,
0.6035,76,30.6,22.4,0.0080,,
0.6115,77,31.5,22.4,0.0075,,
0.6200,78,32.2,22.4,0.0075,,
0.6285,79,33.0,22.4,0.0075,,
0.6370,80,33.7,22.4,0.0075,,
0.6455,81,34.5,22.4,0.0075,,
0.6530,82,35.4,22.4,0.0075,,
0.6615,83,36.2,22.4,0.0075,,
0.6700,84,36.9,22.4,0.0075,,
0.6785,85,37.7,22.4,0.0075,,
0.6865,86,38.5,22.4,0.0075,,
0.6950,87,39.2,22.4,0.0075,,
0.7025,88,40.0,22.4,0.0075,,
0.7110,89,40.7,22.4,0.0075,,
0.7195,90,41.4,22.4,0.0075,,
0.7280,91,42.2,22.4,0.0075,,
0.7365,92,42.9,22.4,0.0075,,
0.7450,93,43.6,22.4,0.0075,,
0.7525,94,44.3,22.4,0.0075,,
0.7610,95,45.0,22.4,0.0075,,
0.7695,96,45.8,22.4,0.0075,,
0.7775,97,46.7,22.4,0.0075,,
0.7860,98,47.4,22.4,0.0075,,
0.7945,99,47.9,22.4,0.0075,,
0.8020,100,48.5,22.4,0.0075,,
0.8105,101,49.3,22.4,0.0075,,
0.8190,102,50.1,22.4,0.0075,,
0.8275,103,50.9,22.4,0.0075,,
0.8360,104,51.6,22.4,0.0075,,
0.8445,105,52.3,22.4,0.0075,,
0.8525,106,53.1,22.4,0.0080,,
0.8605,107,54.0,22.4,0.0075,,
0.8685,108,54.7,22.4,0.0075,,
0.8770,109,55.5,22.4,0.0075,,
0.8855,110,56.2,22.4,0.0075,,
0.8940,111,57.0,22.4,0.0075,,
0.9025,112,57.6,22.4,0.0085,,
0.9100,113,58.4,22.4,0.0070,,
0.9185,114,59.1,22.4,0.0075,,
0.9270,115,59.8,22.4,0.0075,,
0.9355,116,60.5,22.4,0.0075,,
0.9435,117,61.2,22.4,0.0075,,
0.9520,118,61.9,22.4,0.0085,,
0.9595,119,62.6,22.4,0.0070,,
0.9680,120,63.4,22.4,0.0075,,
0.9765,121,64.1,22.4,0.0075,,
0.9850,122,65.0,22.4,0.0075,,
0.9935,123,65.8,22.4,0.0075,,
1.0020,124,66.5,22.4,0.0075,,
1.0095,125,67.0,22.4,0.0075,,
1.0180,126,68.1,22.4,0.0075,,
1.0260,127,68.8,22.4,0.0075,,
1.0345,128,69.6,22.4,0.0075,,
1.0430,129,70.3,22.4,0.0075,,
1.0515,130,71.1,22.4,0.0075,,
1.0600,131,71.8,22.4,0.0085,,
1.0675,132,72.7,22.4,0.0070,,
1.0760,133,73.5,22.4,0.0075,,
1.0845,134,74.4,22.4,0.0075,,
1.0930,135,75.4,22.4,0.0075,,
1.1010,136,76.2,22.4,0.0075,,
1.1095,137,76.9,22.4,0.0085,,
1.1170,138,77.9,22.4,0.0070,,
1.1255,139,78.7,22.4,0.0075,,
1.1340,140,79.7,22.4,0.0075,,
1.1425,141,80.6,22.4,0.0075,,
1.1510,142,81.6,22.4,0.0075,,
1.1595,143,82.5,22.4,0.0085,,
1.1670,144,83.5,22.4,0.0070,,
1.1755,145,84.6,22.4,0.0075,,
1.1840,146,85.6,22.4,0.0075,,
1.1920,147,86.9,22.4,0.0075,,
1.2005,148,88.0,22.4,0.0075,,
1.2085,149,89.1,22.4,0.0080,,
1.2165,150,90.3,22.4,0.0075,,
1.2250,151,91.6,22.4,0.0075,,
1.2335,152,93.1,22.4,0.0075,,
1.2420,153,94.3,22.4,0.0075,,
1.2505,154,95.8,22.4,0.0075,,
1.2590,155,96.9,22.4,0.0085,,
1.2665,156,98.2,22.4,0.0070,,
1.2750,157,99.6,22.4,0.0075,,
1.2830,158,100.8,22.4,0.0075,,
1.2915,159,102.5,22.4,0.0075,,
1.3000,160,104.0,22.4,0.0075,,
1.3085,161,105.7,22.4,0.0075,,
1.3160,162,107.4,22.4,0.0075,,
1.3245,163,109.6,22.4,0.0075,,
1.3330,164,111.8,22.4,0.0075,,
1.3415,165,113.9,22.4,0.0075,,
1.3495,166,116.2,22.4,0.0075,,
1.3580,167,118.6,22.4,0.0075,,
1.3655,168,121.0,22.4,0.0075,,
1.3740,169,123.6,22.4,0.0075,,
1.3825,170,126.8,22.4,0.0075,,
1.3910,171,130.2,22.4,0.0075,,
1.3995,172,133.5,22.4,0.0075,,
1.4080,173,136.8,22.4,0.0075,,
1.4160,174,139.9,22.4,0.0080,,
1.4240,175,143.4,22.4,0.0075,,
1.4325,176,146.8,22.4,0.0075,,
1.4405,177,149.9,22.4,0.0075,,
1.4490,178,153.0,22.4,0.0075,,
1.4575,179,156.4,22.4,0.0075,,
1.4660,180,159.7,22.4,0.0075,,
1.4735,181,162.3,22.4,0.0075,,
1.4820,182,164.7,22.4,0.0075,,
1.4905,183,167.4,22.4,0.0075,,
1.4990,184,169.7,22.4,0.0075,,
1.5070,185,171.7,22.4,0.0075,,
1.5155,186,173.9,22.4,0.0075,,
1.5230,187,175.8,22.4,0.0075,,
1.5315,188,177.3,22.4,0.0075,,
1.5400,189,179.1,22.4,0.0075,,
1.5485,190,180.8,22.4,0.0075,,
1.5570,191,182.3,22.4,0.0075,,
1.5655,192,183.7,22.4,0.0075,,
1.5730,193,184.9,22.4,0.0075,,
1.5755,193,185.1,22.4,0.0060,,
1.5755,433,188.0,22.5,0.0000,,
1.5760,434,187.9,22.5,0.0005,,
1.5775,436,187.9,22.5,0.0010,,
1.5800,436,188.0,22.5,0.0050,,
1.5840,438,188.1,22.5,0.0025,,
1.5900,439,188.5,22.5,0.0100,,
1.5985,440,189.2,22.5,0.0140,,
1.6060,440,190.0,22.5,0.0150,,
1.6145,442,190.8,22.5,0.0055,,
1.6230,442,192.1,22.5,0.0170,,
1.6310,444,193.2,22.5,0.0050,,
1.6395,445,194.1,22.5,0.0140,,
1.6480,446,195.1,22.5,0.0140,,
1.6555,446,195.8,22.5,0.0150,,
1.6640,448,196.8,22.5,0.0055,,
1.6725,448,197.5,22.5,0.0170,,
1.6810,450,198.5,22.5,0.0055,,
1.6895,451,199.2,22.5,0.0140,,
1.6980,452,199.8,22.5,0.0140,,
1.7055,452,200.5,22.5,0.0150,,
1.7140,454,201.2,22.5,0.0055,,
1.7220,454,202.0,22.5,0.0160,,
